"","data_category","variable name - description"
"167","Diet","asa24_pf_mps_total - Asa24 Food Diary Totals: Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.)"
"168","Diet","asa24_pf_meat - Asa24 Food Diary Totals: Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)"
"169","Diet","asa24_pf_curedmeat - Asa24 Food Diary Totals: Frankfurters, sausages, corned beef, and luncheon meat that are made from beef, pork, or poultry (oz. eq.)"
"170","Diet","asa24_pf_organ - Asa24 Food Diary Totals: Organ meat from beef, veal, pork, lamb, game, and poultry (oz. eq.)"
"171","Diet","asa24_pf_poult - Asa24 Food Diary Totals: Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)"
"172","Diet","asa24_pf_seafd_hi - Asa24 Food Diary Totals: Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.)"
"173","Diet","asa24_pf_seafd_low - Asa24 Food Diary Totals: Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)"
"174","Diet","asa24_pf_eggs - Asa24 Food Diary Totals: Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"
"175","Diet","asa24_pf_soy - Asa24 Food Diary Totals: Soy products, excluding calcium fortified soy milk and immature soybeans (oz. eq.)"
"176","Diet","asa24_pf_nutsds - Asa24 Food Diary Totals: Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
"177","Diet","asa24_pf_legumes - Asa24 Food Diary Totals: Beans and Peas (legumes) computed as protein foods (oz. eq.)"
"178","Diet","asa24_d_total - Asa24 Food Diary Totals: Total milk, yogurt, cheese, whey. For some foods, the total dairy values could be higher than sum of D_MILK, D_YOGURT, and D_CHEESE because Misc dairy component composed of whey which is not included in FPED as separate variable. (cup eq.)"
"179","Diet","asa24_d_milk - Asa24 Food Diary Totals: Fluid milk, buttermilk, evaporated milk, dry milk, and calcium fortified soy milk (cup eq.)"
"180","Diet","asa24_d_yogurt - Asa24 Food Diary Totals: Yogurt (cup eq.)"
"181","Diet","asa24_d_cheese - Asa24 Food Diary Totals: Cheeses (cup eq.)"
"182","Diet","asa24_oils - Asa24 Food Diary Totals: Fats naturally present in nuts, seeds, seafood; unhydrogenated vegetable oils, except palm oil, palm kernel oil,  coconut oils; fat in avocado and olives above allowable amount; 50% of fat present in stick/tub margarines, margarine spreads (grams)"
"183","Diet","asa24_solid_fats - Asa24 Food Diary Totals: Fats naturally present in meat, poultry, eggs, dairy (lard, tallow, butter); hydrogenated/partially hydrogenated oils; shortening, palm, palm kernel, coconut oils; coconut meat, cocoa butter; 50% of fat in stick/tub margarines, margarine spreads (grams)"
"184","Diet","asa24_add_sugars - Asa24 Food Diary Totals: Foods defined as added sugars (tsp. eq.)"
"185","Diet","asa24_a_drinks - Asa24 Food Diary Totals: Alcoholic beverages and alcohol (ethanol) added to foods after cooking (no. of drinks)"
"186","Diet","asa24_datacomp - Asa24 Food Diary Totals: This is an indicator which shows if the portion and/or nutrient data was complete or missing for any food/beverage in the recall (refer to INFMYPHEI file to locate the individual foods/beverages with missing data)."
